stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
3750,3750,"50 AV SW @ RICHARD RD SW ATCO ENTRANCE",,  51.008636,-114.124866,,,0
3751,3751,"CROWCHILD TR SW@ 54 AV SW",,  51.004730,-114.118207,,,0
3752,3752,"GLENMORE TR SW @ CROWCHILD TR SW",,  50.999515,-114.116449,,,0
3753,3753,"14 ST SW @75 AV SW",,  50.987102,-114.095059,,,0
3754,3754,"HERITAGE DR SW @ HAYSBORO CR SW",,  50.979503,-114.092969,,,0
3755,3755,"HERITAGE DR SW @ ELBOW DR SW",,  50.979475,-114.082825,,,0
3756,3756,"Heritage LRT Station",,  50.978875,-114.075354,,,0
3757,3757,"WB HERITAGE DR SW @ ELBOW DR SW",,  50.979655,-114.083526,,,0
3758,3758,"HERITAGE DR SW @ CHURCHILL DR SW",,  50.979637,-114.093274,,,0
3759,3759,"14 ST SW @ 75 AV SW",,  50.987137,-114.094629,,,0
3760,3760,"CROWCHILD TR SW @ GLENMORE TR SW",,  51.000960,-114.117771,,,0
3761,3761,"CROWCHILD TR SW@ 54 AV SW",,  51.005283,-114.117660,,,0
3762,3762,"MOUNT ROYAL GA SW@WESTMOUNT WY SW",,  51.008785,-114.125783,,,0
3763,3763,"NB MOUNT ROYAL CI @ MRU EAST GATE",,  51.011580,-114.129346,,,0
3764,3764,"MOUNT ROYAL UNIVERSITY TERMINAL",,  51.014048,-114.133799,,,0
3765,3765,"46 AV SW @ SARCEE RD SW",,  51.012582,-114.140121,,,0
3766,3766,"37 ST SW @ RICHMOND RD SW",,  51.021965,-114.140926,,,0
3767,3767,"37 ST SW @ 26 AV SW",,  51.030368,-114.141008,,,0
3768,3768,"SB 11 ST @ 7 AVE SW",,  51.047487,-114.088654,,,0
3769,3769,"69 Street West LRT Station sb",,  51.037180,-114.187767,,,0
3770,3770,"WB SPRINGBOROUGH BV @ AMBROSE CI SW",,  51.033564,-114.192622,,,0
3771,3771,"Springborough Bv & Gr SW",,  51.032441,-114.193817,,,0
3772,3772,"WB 26 Ave & Springborough Bv SW",,  51.030594,-114.194071,,,0
3773,3773,"WB 26 Ave & 77 St SW",,  51.030649,-114.197477,,,0
3774,3774,"77 St & Spring Valley Vw SW",,  51.028502,-114.199447,,,0
3775,3775,"Springbluff Bv & Spring Valley Wy SW",,  51.023592,-114.199500,,,0
3776,3776,"Springbluff Bv & Springbluff Ln SW",,  51.022253,-114.199182,,,0
3777,3777,"Springbluff Bv & Springbank Wy SW",,  51.020535,-114.194308,,,0
3778,3778,"Springbank Ga & Springbluff Bv SW",,  51.021328,-114.190253,,,0
3779,3779,"Springbluff Bv & Springbank Gt SW",,  51.021385,-114.190749,,,0
3780,3780,"WB Springbluff Bv & Springbank Wy SW",,  51.020772,-114.195207,,,0
3781,3781,"Springbluff Bv & Ln SW",,  51.022511,-114.199066,,,0
3782,3782,"NB 77 St & Spring Valley Wy SW",,  51.024286,-114.199202,,,0
3783,3783,"NB 77 St & Spring Valley Vw SW",,  51.028802,-114.199215,,,0
3784,3784,"NB 77 St & Spring Valley Vw SW",,  51.030460,-114.197460,,,0
3785,3785,"69 Street West LRT Station nb",,  51.037152,-114.187355,,,0
3786,3786,"WB Old Banff Coach Rd & Coulee Way SW",,  51.067166,-114.194057,,,0
3787,3787,"EB 10 Av & 16 St SW",,  51.044236,-114.098975,,,0
3788,3788,"EB 12 AV@2 ST SW",,  51.041493,-114.068727,,,0
3789,3789,"SB Olympic Way & 11 Ave SE",,  51.042315,-114.053509,,,0
3790,3790,"WB 10 Ave & 11 St SW",,  51.044146,-114.089934,,,0
3791,3791,"WB 11 AV@14 ST SW",,  51.044306,-114.095646,,,0
3792,3792,"Sunalta LRT Station wb",,  51.044391,-114.099037,,,0
3793,3793,"Westbrook LRT Station wb",,  51.039689,-114.135940,,,0
3794,3794,"Westbrook LRT Station nb",,  51.039098,-114.135306,,,0
3795,3795,"Mount Royal University",,  51.014743,-114.133965,,,0
3796,3796,"Mount Royal University",,  51.014759,-114.133985,,,0
3797,3797,"EB MRU WEST ENTRANCE",,  51.014102,-114.133093,,,0
3798,3798,"WB MRU WEST GATE",,  51.014526,-114.133343,,,0
3800,3800,"COUNTRY VILLAGE RD @ COUNTRY VILLAGE LI NE",,  51.160278,-114.066893,,,0
3801,3801,"COUNTRY VILLAGE RD @ E. of COUNTRY VILLAGE LI NE",,  51.160516,-114.063473,,,0
3802,3802,"COUNTRY VILLAGE RD @ W. of COVENTRY HILLS BV NE",,  51.162016,-114.058385,,,0
3803,3803,"11 ST @ 20 ST SE",,  51.035485,-114.036666,,,0
3804,3804,"11 ST @19  AV SE",,  51.036400,-114.036936,,,0
3805,3805,"42 ST @ 110 AV SE",,  50.955732,-113.974155,,,0
3806,3806,"110 AV @ 42 ST SE",,  50.955994,-113.973525,,,0
3807,3807,"110 AV @ 46 ST SE",,  50.955218,-113.968904,,,0
3808,3808,"110 AV @ 46 ST SE",,  50.955152,-113.969122,,,0
3809,3809,"COVENTRY HILLS WY@COVENTRY DR NE",,  51.165511,-114.043628,,,0
3810,3810,"COVENTRY HILLS WY@COVEWOOD LI NE",,  51.165006,-114.046078,,,0
3811,3811,"COVENTRY HILLS WY@W. of COVEWOOD LI NE",,  51.164865,-114.048304,,,0
3812,3812,"COVENTRY HILLS WY@ COVEPARK DR NE",,  51.164641,-114.052281,,,0
3813,3813,"COUNTRY VILLAGE RD @ COVENTRY HILLS WY NE",,  51.162811,-114.057476,,,0
